1,A BIRD THAT FLIES WITH TWO WINGS,1
2,Kastom and state justice systems in Vanuatu,3
2,Miranda Forsyth,11
3,E PRESS,4
2,Foreword,11
1,A Bird that Flies with Two Wings,12
3,xiv,14
5,'ENDNOTES',14
1,Prologue,15
2,A Bird that Flies with Two Wings,16
3,lgat fulap rod blong hen,21
4,Brief history of Vanuatu,21
5,ENDNOTES,19
1,Islandism ,22
2,Igat fulap rod blong hem ,23
3,Urban-rural divide: which one is the ‘easy life’? ,24
4,Place ,22
5,forces from Papua New Guinea.”! ,22
1,a breakdown in chiefly authority,25
2,Land,27
3,Language,28
1,Vanuatu,29
2,Politics,29
2,shift in power in parliament can initiate a complete reorganisation of ruling coalitions.,30
3,Religion and denomination,31
3,Missionaries arrived in Vanuatu in the nineteenth century and today more than 90 per cent of the population is Christian.,31
4,hemi mixup [these two things are interwoven].,32
1,Gender,33
3,and hold the majority of positions of power.,33
5,Age,36
1,As a result of this finding,38
2,Juvenile Justice Project (JJP) was established in,38
3,Conclusion,39
4,The positivist approach,50
5,General principles,50
1,Positivism in Melanesia,50
2,The legal anthropological approach,52
3,of norms,54
4,as “social control” .4”,55
5,The legal pluralist approach,56
1,General principles,56
1,Theoretical issues,58
1,What's in a name?,58
2,Social groups treat as law.,61
1,Is state law fundamentally different to non-state law?,61
2,Proliferation of the nation state',62
1,Is it possible to have a situation of legal pluralism within a state system?,62
2,The possibilities of legal pluralism,64
3,What is law?,62
4,social forms that support it” 132,62
1,normative regimes between different legal systems,66
2,The current limitations of legal pluralism,66
3,Using legal pluralism as a normative tool,68
1,Leadership structures and conflict management in the nineteenth century and early twentieth century,72
2,Conclusion,72
3,ENDNOTES,72
4,'a',77
1,Leadership structures,82
2,The graded system,82
3,village''21,83
4,Hereditary/mixed systems,83
5,into power’78,84
1,Maintenance of law and order and conflict-management mechanisms,85
2,Deacon found that in Malekula peace could be established by different ceremonies depending on whether a permanent peace or a temporary,86
3,Leadership structures and conflict-management mechanisms during the Condominium,88
4,Reconciliation imperative'',87
1,Christianisation of society,89
2,Leadership systems,89
3,read and write”.,91
4,kinship by the economic pressures of a cash and wage economy,91
5,Maintenance of law and order and conflict-management mechanisms,91
1,Leadership structures and conflict management post-independence,95
2,Kastom and the ‘invention of tradition’,95
3,'IcJhildren wander in and out'!,92
4,power,94
5,in terms of the finding—rather than negotiating—of consensus',94
1,What is kastom?,96
2,Kastom as ‘invention’?,97
3,“ancustomary” attitude towards cultural differentiation’ .‘4?,98
3,fixed truths rather than to fluid and dynamic representations of culture’ .!°!,98
2,The significance of kastom as invention,99
1,neutralize subaltern voices and perspectives,99
2,Leadership structures in Vanuatu today,100
2,Conflict management,101
3,Conclusion,103
1,ENDNOTES,105
2,society seems to be a syncretic combination of “Melanesian” and “Polynesian” elements.”,106
3,therefore also against someone’,115
4,variation in its operation throughout Vanuatu”,116
5,our data more fruitfully’°,116
1,The pervasiveness of the kastom system,117
2,Diversity in conflict management,118
3,Who attends?,120
4,Who speaks?,120
1,How is a decision reached?,121
2,The restorative nature of the kastom system,125
3,After the meeting,125
4,everyone was exhausted’ to lead them ‘to find peace among themselves’,121
5,other).,126
1,Privileging the community over individuals,128
2,Kastom procedures and kastom law,130
3,The dynamism of the kastom system,131
4,it will make it easier to judge conflicts,132
5,it will harmonise the different rates of penalty among the different villages/throughout the province,132
1,Challenges for the kastom system today,133
2,Too many chiefs,134
3,Respek hemi lus’ (Respect has been lost),135
4,Problems of enforcement of kastom payments,136
1,Chiefly misbehaviour,137
2,Problems of people attending meetings,137
3,Lack of disciplinary mechanisms,138
4,Chiefs and modern society,139
5,Table 4.1 Problems within the kastom system,140
1,Widespread support for the continuation of the kastom system,140
2,Women and the kastom system,141
3,We had a case where there was a woman who had left her husband about,142
4,Youth and the kastom system,144
10,Conclusion,146
2,ENDNOTES,147
3,Introduction,148
2,The courts,159
2,The current condition of the court system,160
3,A third problem is the delays in the system,161
2,The relationship between the courts and the kastom system,162
1,The relationship between customary law and state law,162
2,leve,165
3,to encourage the use of customary law,165
4,comprehensive manner,167
5,The relationship between the kastom system and the court system,168
1,Views of stakeholders about the relationship,169
2,The Vanuatu Police Force,170
2,The condition of the police today,170
3,The relationship between the police and the kastom system,172
3,Ways the police assist the kastom system,174
1,Ways the kastom system assists the police,175
2,View of stakeholders about the relationship,175
3,The prisons,177
10,Vanuatu’ .!?3,179
5,The Public Prosecutor and the Public Solicitor,180
1,The condition of the prosecution and Public Solicitor,180
2,of prosecution’ 137,180
2,The relationship between the prosecution and the Public Solicitor with the kastom system,181
3,The Malvatumauri,182
3,Conclusion,184
1,Table 5.1 Problems with the state system,186
2,ENDNOTES,187
3,The facts of the case study,196
4,Problems within the two systems demonstrated by the case study,200
5,Problems within the state system,200
1,Problems within the kastom system,202
2,Problems with the relationship between the two systems,202
2,Uncertainty about where the conflict should be dealt with puts complainants in a vulnerable situation,202
3,Dispute and confusion over jurisdiction,203
3,station they were advised to ‘solve the matter according to the traditional way’,205
1,The problem of which system should deal with a case first,206
2,The problems with the kastom system dealing with a matter first,206
3,Table 6.1 Temporal ordering problems,209
4,The problem of ‘double jeopardy’,209
5,The problems with the state system dealing with a matter first,208
1,The operation of the state system creates feelings of disempowerment among the chiefs,210
2,The state system hinders the operation of the kastom system,210
2,Direct hindering of the kastom system by the state system,210
3,overturned by the courts’ .4?,211
2,Indirect hindering of the kastom system by the state system,212
1,enforcement capacity of Chiefs,213
2,The existence of the kastom system hinders the operation of the state system,214
1,Conclusion,215
3,Table 6.2 Four classes of problems flowing from unrestricted forum shopping,217
10,ENDNOTES,217
2,A framework for analysing different types of relationship between non-state and state justice systems,222
3,A typology of relationships between state and non-state justice systems,223
4,Model 1: Repression of a non-state justice system by the state system,226
1,democracy and international human rights,227
3,Table 7.3,230
4,An example of jurisdiction with this model is the Samoan village ‘fono’,231
5,oppression,233
1,Should the non-state justice system be funded in any way by the State?,233
3,What powers should an appellate court have?,233
4,Table 7.4,234
5,Significant features,234
1,Model 5: Formal recognition of exclusive jurisdiction in a defined area,234
3,of a unified body of positive law”，8！,235
4,option for Nigeria”，®”,236
5,Table 7.5,237
