1,About the Author,3
2,2016-2017 Fourth Edition,1
1,Notices,4
1,About CALI eLangdell Press,6
1,About CALI eLangdell Press,9
1,Table of Contents,9
1,Preface,7
3,WPK,8
1,Chapter 1: The Government Raises Money: Introduction to Some Basic Concepts,9
2,Chapter 2: What Is Gross Income: Section 61 and the Sixteenth Amendment,9
3,I. Introduction to Some Basic Concepts,12
4,TL. Taxing Income,9
5,Wrap-Up Questions for Chapter 7,11
6,Chapter 8: Tax Consequences of Divorce and Intra-Family Transactions,11
1,II. Taxing Income,17
2,Tax Base: The tax base is what it is we tax.,21
2,Not All Income Is Taxed Alike,29
3,What is Bill and Mary’s effective income tax rate?,33
1,Sources of Tax Law and the Role of Courts,34
2,What Is Income?,38
3,If Algebra or Economics Scare You —,39
4,Some Obvious or Not-so-Obvious Implications of the SHS Definition of “Income”,40
1,Taxing Income Is Taxing Consumption Plus Increments to the Power to Consume,41
1,Basis — Or Keeping Score with the Government,45
3,SHS Accounting for Spending Savings,48
4,Borrowing Money,48
1,Wrap-up Questions for Chapter 1,49
2,What have you learned?,49
4,Chapter 2: What Is Gross Income: Section 61 and the Sixteenth Amendment,51
5,26 Title I. — Income Tax,54
1,Part I. — On Individuals,54
2,[omitted],61
1,stockholder?,63
2,Mr. Chief Justice WARREN delivered the opinion of the Court. 57,68
1,I. Background,72
1,Compensation for injuries or sickness,73
2,Section 104(a) (IRC),73
3,B. Section 104(a)(2) of the IRC,73
4,Section 61 of the IRC,74
5,D. The Congress’s Power to Tax,77
7,Uniformity,82
1,indirect taxes? What is the constitutional limitation upon Congress’s power to en- act indirect taxes?,85
2,II. The Constitutional and Statutory Definitions of “Gross In- come:” Accessions to Wealth,86
3,A. Some Recurring Themes,86
2,1. Does the Commissioner’s position follow from the Supreme Court’s holding in Old Colony Trust?,92
1,e Does Judge Brown’s analysis support his conclusion?,98
2,B. Section 61(a)(3): Gains Derived from Dealings in Property,102
1,DISCUSSION,108
1,Rev. Rul. 79-24 GROSS INCOME; BARTER TRANSACTIONS,112
2,to pay for something is a recognition event. Why?,111
3,Examples * * *,110
5,treated independently.,110
1,FACTS,112
2,How much must Taxpayer report as gross income derived from the sale of Blackacre?,113
3,Improvements to Leaseholds and the Time Value of Money,113
2,“Unamortized cost” equals “adjusted basis.”,114
3,in two succeeding editions of the Treasury Regulations. [footnote omitted] In,114
1,What is conceptually wrong with §§ 109 and 1019? Isn’t there some untaxed consumption? Where?,118
1,How much gross income must taxpayer recognize for receiving the building and when?,120
2,E. Imputed Income,126
3,it,125
1,III. The Constitutional and Statutory Definitions of “Gross In- come:” Realization,129
3,B,139
4,IV. The Constitutional and Statutory Definitions of “Gross In- come:” Dominion and Control,145
2,undisputed that this merger would have been in Bruce’s interest.,146
10,@eaur,152
5,What have you learned?,152
2,Chapter 3: Exclusions from Gross Income,154
1,Compute income tax liability from tables in § 1 (indexed for inflation) MINUS (credits against tax),154
2,MINUS deductions named in § 62 EQUALS (adjusted gross income (AGI)),154
3,MINUS (standard deduction or itemized deductions) MINUS (personal exemptions) EQUALS (taxable income),154
1,I. The Society and Government that We Want,155
1,Would § 274(b)(1) change the result of either Duberstein or Stanton?,167
2,Might these points ever be important in matters of estate planning? How so?,168
3,eaur,169
4,I Diedrich v. Commissioner of Internal Revenue,171
1,B,171
1,II,172
2,from the obligation to pay the gift tax,174
2,e On how much gain should taxpayer pay income tax?,177
1,Basic Federal Income Taxation: Property Transactions: Computation of Gain and Loss Realized,178
2,Exclusion of Gain from Sale of Principal Residence: § 121,178
3,Lessons,179
4,Interest on State and Local Bonds: § 103 Read §§ 103 and 141”,180
1,e Tax consequences to Moldaur,182
1,II. Social Benefits,182
2,A. Life Insurance Death Benefits: § 101,183
2,When (why) would transfers such as those described in § 101(a)(2)(B) occur?,184
3,ISSUE,185
1,FACTS Situation 1,185
1,LAW AND ANALYSIS SITUATION 1,186
2,Amount of income recognized upon surrender of the life insurance contract,186
2,SITUATION 2,186
3,SITUATION 3,188
1,HOLDINGS,188
2,Read § 105. What rule emerges from §§ 105(a and b)?,192
1,Gross Income: Annuities and Life Insurance Proceeds,191
1,Lessons,193
2,Basic Federal Income Taxation: Gross Income: Damages and Related Receipts,193
3,C. Social Security: § 86,193
4,Read § 86,193
5,D. Unemployment Benefits: § 85,197
1,III. Employment-Based Exclusions from Gross Income,197
2,A. Group Term Life Insurance: § 79,197
3,B. Educational Assistance Programs: § 127,198
4,C. Dependent Care Assistance Programs: § 129,198
5,E. Meals or Lodging Furnished for the Convenience of the Employer: § 119,199
1,Respondent,200
1,II,201
2,A The starting point...,201
2,Section 119 provides...,202
3,e What conclusion did it...,208
1,F. Employee Fringe Benefits: § 132,212
1,C. Explanation of Provisions,214
2,Are there any more facts you might wish to know?,217
2,Tax consequences to the workers who live in town?,212
2,What have you learned?,220
3,Chapter 4: Loans and Cancellation of Indebtedness,221
10,the open market for less than it obtained when it issued the bond?,224
10,e What policies do you see implicit in Reg. § 1.1017-1(a) ?,227
1,Is It a Loan? Is There an Accession to Wealth?,228
2,Income From the Discharge of Indebtedness,232
3,Enforceability,233
2,Disputed Debt,235
2,Deductibility of Gambling Losses,235
1,Purchase Money Debt Reduction,235
1,What would be the rule if the obligation were a recourse obligation?,257
2,Transactions Involving Property Subject to a Loan,255
1,Section 108(a)'s Other Provisions,253
2,majority conclude that their value is in dispute?,251
1,Rey. Rul. 90-16,262
1,B,262
1,Did the lender in Tufts discharge any indebtedness?,269
2,FACTS,270
3,e,269
1,HOLDING,272
2,FACTS,273
2,HOLDING,275
3,VI. Transactions Treated as Loans,276
1,When a taxpayer is insolvent,281
2,What have you learned?,280
3,Wrap-up Questions for Chapter 4,280
1,What a recourse loan is; what a non-recourse loan is,281
2,Chapter 5: Progressivity and Assignment of Income,282
3,I. Compensation for Services,284
1,The courts have created the “assignment of income’’ doctrine to prevent abusive,283
1,= in year 1?,287
2,= in year 2?,287
3,acquét: property,289
2,Il. Income Splitting and the Joint Return,292
3,Present Law In general,292
1,Marriage penalties due to rate brackets and the standard deduction,292
2,Marriage penalties and bonuses due to income-based phaseins and phaseouts,293
3,Marriage penalties for low-income individuals,294
4,Legislative Background,294
5,Analysis,296
1,Marriage neutrality versus equal taxation of married couples with equal in-comes,296
2,Eliminating or reducing the marriage penalty,300
3,Income Derived from Property,301
3,Re-read Helvering v. Horst in chapter 2. Why did taxpayer Horst lose?,301
1,The court below declared,302
3,McCormick Blair,308
2,Is this difference a sound basis upon which the Court may reach different results?,309
1,Heim Company.®? This was duly recorded in the Patent Office and in January 1945 and May 1946 plaintiff's patent applications were acted on favorably and patents thereon were issued to the Company.,311
1,e Does § 1235 lend inferential support to the holding in Heim?,314
2,ls the contingent-fee attorney a joint owner of the client’s claim?,314
3,Does it matter that the relationship between client and attorney is principal and agent?,314
4,What result under these provisions?,315
1,What is the likely result under these provisions?,316
2,What have you learned?,317
1,Chapter 6: Deductions: Business Expenses,319
2,this treatment “expensing.”,321
2,I. Expense or Capital,322
1,A. Expense or Capital: Cost of Constructing a Tangible Capital Asset,331
2,What should be the tax treatment of the cost of taxpayer’s self-construction of a productive asset for it to use in its own business?,331
5,What would be the rationale of this treat- ment?,330
1,B. Expense or Capital: Cost of “Constructing” an Intangible Capital Asset,339
2,JUSTICE BLACKMUN delivered the opinion of the Court.,340
2,the issue among the Courts of Appeals.!°!,342
3,Expense or Capital: Protecting Stock Investment or Protecting Employment,352
1,an especially important matter?,365
1,D. Expense or Capital: Repair vs. Improvement,361
2,When reading the following materials do not forget some basic points.,361
1,Restore the unit of property,376
1,Reg. § 1.263(a)-3G)(1),377
2,Would the improvement in Mr. Morris Drive-In be a bet- terment?,377
1,“Routine maintenance” does not improve property,378
1,A. Travel Expenses,382
1,Trade or business expenses,385
4,while away from home.,385
9,”ec”,395
1,B. Reasonable Salaries,409
1,C. Ordinary and Necessary Expenses,418
2,OPINION — OPPER,419
3,€ALI e Lessons,418
2,GALE,420
1,Lessons,420
2,Dependent Care Credit,420
3,The judgment is,426
4,activity. should be slow to override his judgment.,427
5,Notes and Questions,427
6,The income tax is a tax only on net income. The one exception to this — explic- itly stated in the Code — is § 280E.,427
1,FINDINGS OF FACT,428
1,OPINION,430
3,tal expense. What is the opposite of “ordinary” in Gilliam?,434
2,FINDINGS OF FACT,435
1,OPINION,437
1,deductible under § 162,438
3,Emphasis added.,440
2,portion of the dwelling “exclusively”,447
1,D. Special Rules to Encourage Manufacturing and Exploitation of Natu- ral Resources,452
2,Income Attributable to Domestic Production Ac- tivities,452
2,Recovery Property Defined.,461
1,Note: Sections 167 and 168,465
2,What is Taxpayer’s ACRS allowance for 2016?,468
3,Section 197,469
10,Mixing Business and Pleasure,469
1,Wrap-Up Questions for Chapter 6,472
1,What have you learned?,472
2,duct under § 162(a)(1)?,473
3,What is “cost recovery?”,473
1,How does rapid cost recovery generate economic growth?,473
