1,Revisiting China’s Competition Law and Its Interaction with Intellectual Property Rights,3
2,MIPLC Studies Edited by,2
3,Abstract Acronyms and Abbreviations,7
4,VI. Conclusions,9
1,China's Socio-Economic Progress,11
2,Anti-Monopoly Commission,13
3,China’s Anti-Monopoly Law,16
4,Origins of China's Anti-Monopoly Law,17
5,Abstract,11
1,Origins of China’s Patent Law,19
3,Possible conflicts between the two systems,22
4,Main Themes Covered in This Thesis,24
1,Important Milestones,25
2,China's Competition Regime Prior to the AML,26
3,The Anti-Unfair Competition Law of 1993,26
4,The Price Law of 1997,28
5,Regulations promote fair competition and combat monopoly activities,29
1,Monopoly agreements between business operators (Chapter IT),29
2,Abuse of dominant market position by business operators (Chapter HT),29
3,Abuse of administrative powers for elimination of competition (Chap- ter V),29
1,Main Topics of Each Chapter Article numbers,30
2,Chapter 7 | Liability and penalties for violating the AML,30
1,Institutional Design of Competition Agencies under the AML,31
2,Antitrust Division of the Department of Justice (DOJ) and the Federal Trade Commission (FTC),32
2,Responsibilities of NDRC and SAIC,33
3,Judicial enforcement,33
1,E. Future Challenges,34
2,II. EU Competition Policy — Main Reference for China’s Anti-Monopoly Law,36
3,A. Background Information,36
4,B. Why the US Competition Law Did Not Serve As the Main Model?,37
5,2. Institutional design and enforcement 2.1. Significance of administrative route for both jurisdictions,41
1,Growing importance of private actions in both jurisdictions,42
2,Legal framework and comparison of stipulations,43
3,Dynamics of Competition Policy,46
4,China’s 2017 IP Guidelines,47
5,China at the Crossroads between Competition Enforcement and Intellectual Property Rights,47
1,Characteristics and Main Principles of the IP Guidelines,48
2,3.4 Compulsory license under TRIPs Agreement,55
2,3.5 Inevitable legal uncertainty of the essential facility doctrine,55
1,B. Characteristics and Main Principles of the IP Guidelines,48
1,(1) commitment made by the business operator to license the IPR,51
1,4. SEP licensing,56
2,V. Competition Policy and IPRs: Well-Functioning Symbiosis — A Case Study,59
3,A. Brief Introduction to SEP and Related Issues,59
5,B. Judicial Decision on Huawei v. InterDigital,61
6,2. Substantial rulings of the Chinese courts,62
1,Abuse of dominant position in licensing SEP technology,62
2,FRAND commitment — requiring Huawei to pay much higher royalties than those paid by Ap- pre and Samsung  tying its SEPs with non-SEPs during licensing negotiations,63
3,Definition of market dominance by Guangdong High Court,64
1,Abuse of dominant position,65
1,Chinese court sets the royalty rate,66
2,SEP-related controversies,67
3,Conclusions,73
4,List of Works Cited,75
