1,AUSTRALIAN CLINICAL LEGAL EDUCATION,1
2,DESIGNING AND OPERATING A BEST PRACTICE CLINICAL PROGRAM IN AN AUSTRALIAN LAW SCHOOL,3
2,List of authors,7
2,Acknowledgements,11
2,The reason for this book,13
3,Why address Australian clinical legal education now?,13
3,Coverage of chapters,17
3,Conclusion,21
2,Clinics and Australian law schools approaching 2020,23
3,Introduction,23
3,The contributions of clinical legal education,24
3,Dramatic growth in the number of law schools,26
3,Regulation of law schools,28
3,Practical legal training and preparation for reflective practice?,31
3,Playing ‘pass the parcel’: Confusion in Australia’s legal education framework,32
3,Broader university agendas,36
4,Work-integrated learning (WIL),37
4,Capstone experiences,38
3,Learning and service,39
4,Service learning,39
4,Pro bono,40
3,Wellness and depression in legal education and legal practice,41
3,Ethical infrastructure,44
3,Clinical scholarship,47
3,Conclusion,48
2,Australian clinical legal education: Models and definitions,51
3,Introduction,51
3,What is clinical legal education?,52
4,The role of simulations,56
3,Distinguishing features of clinical legal education in Australia,58
3,Terminology,59
4,What is ‘clinic’?,59
4,What is a ‘client’?,59
4,Models,60
5,In-house live client,62
6,Analysis,64
5,External live client clinic (agency clinics),66
6,Analysis,66
5,Externships (including internships and placements),68
6,Analysis,69
5,Clinical components in other courses,72
6,Analysis,73
3,Factors in choice of model,74
4,Learning objectives,74
4,Extent of control and supervision,74
4,Available resources,75
4,Potential partnerships/placements,75
4,Types of legal work,76
4,Students’ location and numbers,77
3,Conclusion,77
2,Course design for clinical teaching,79
3,Introduction,79
4,Coverage,79
4,Naming a ‘course’,80
3,Course aims and learning outcomes,80
4,The fundamental importance of course aims,80
4,Distinguishing learning outcomes,82
3,Clinical course aims,82
4,Legal doctrine as a course aim?,84
4,Legal theory as a course aim?,84
4,Legal and professional skills as a course aim?,85
4,Social justice as a course aim?,87
4,Public service as a course aim?,88
4,Legal policy and law reform as a course aim?,89
4,Student wellbeing and engagement as a course aim?,89
4,Student aims?,90
3,Clinical learning outcomes,90
4,Terminology for learning outcomes,92
3,Choosing the type of clinic,94
3,Selecting students,96
4,Processes for selection,96
4,Common criteria for selection,97
4,Valid criteria for selection,98
4,Actively promoting the opportunity to enrol,101
3,Teaching in the classroom,102
4,Conduct of the class,103
4,Literature,105
3,"Timing, scheduling and course credit",106
4,Length and scheduling of a clinical course,106
4,Course credit value,107
3,Conclusion,108
2,Teaching social justice in clinics,109
3,Introduction,109
3,The idea of ‘social justice’ in law,110
4,‘Access to justice’,111
3,Clinical legal education and social justice,112
3,Clinical legal education and community legal centres,114
3,Working with other professions,116
3,Multidisciplinary clinics,117
3,Growth in clinical externship courses,119
4,International externships,120
3,The practice of social justice in clinics,120
4,Skills development,121
4,Class content and readings,122
4,Legal ethics,123
4,Justice issues in individual client clinics,128
4,Justice issues in dispute resolution Clinical courses,129
4,Justice issues in community engagement clinics,130
5,Community legal education,131
5,Community development,132
5,Law reform,133
4,Conclusion,133
3,The importance of effective Supervision,135
4,Introduction,135
4,Supporting and challenging students through supervision,139
4,Supervision in legal workplaces,141
4,How supervision underpins learning in the clinic,144
4,Supervision arrangements in Australian clinics,146
4,Key issues in clinical supervision,149
5,Supervision ratios,149
5,Containing the service imperative,151
5,Developing student autonomy,154
4,Particular supervision issues generated by externships,157
4,How law schools can promote effective supervision,158
4,Particular issues generated by online supervision,159
4,Principles to inform law school structures in support of clinical supervision,160
4,Guidance for supervisors,161
5,Understand the program,161
5,Communicate clearly,161
5,Be sensitive,161
5,Be collaborative,162
5,Be accountable,162
4,Preparing students to make the most of supervision,162
4,Effective law student supervision project,164
4,Conclusion,164
3,Reflective practice: The essence of clinical legal education,165
4,Introduction,165
4,What our research discovered about reflection,167
4,What is reflection?,168
4,Why do we want to teach reflective practice?,172
5,"Reflection aids the educative process, while experience aids reflection",172
5,Reflection as an antidote to the technical/positivist nature of legal education,174
5,Reflection to educate for lifelong learners and resilient practitioners,177
5,Reflection to expose students to law in context,178
4,How should we teach reflective practice?,180
5,Value it,180
5,Explain it,181
5,Support it,185
4,Should we assess reflective practice?,186
4,How do we assess reflective practice?,188
4,Conclusion,189
3,Clinical assessment of students’ work,191
4,Introduction,191
4,Australian clinicians’ views on assessment: The contributions of our survey to best practices,193
4,Approaches to assessment criteria in different types of clinical experience,194
5,Edited responses from all regions,194
4,Preliminary statement,196
4,Literature on assessment purposes and techniques,197
4,Best practices in United States legal education: Grading beyond pass/fail,198
4,Formative and summative assessment in clinics,204
4,After grading,207
5,Pressure to standardise clinical assessment,207
4,Strengthening formation—recognising metacognition,209
4,Conclusion,210
3,Resourcing live client clinics,213
4,Introduction,213
4,Clinic supervisors,215
4,Clinic program directors,218
5,What is involved in clinical leadership?,219
4,Clinical supervisors (‘clinicians’),220
5,"Training, diversifying, strengthening and retaining good clinical supervisors",221
5,Rationales behind clinical supervisor—student ratios,224
4,Funding,225
5,Major funding needs,227
4,Introduction,231
4,Why best practices?,233
4,Process,236
5,Australia,237
5,United Kingdom,239
5,United States,240
4,Conclusion,242
4,General scope of best practices: Live client clinics,243
4,Conclusion,253
4,Growth in Juris Doctor degrees,255
4,Globalisation of legal practice and legal education,257
4,Changes in legal service provision to the disadvantaged,259
5,Impact of funding crisis: Victoria Legal Aid example,260
5,New models: Multidisciplinary clinics,261
