1,The Principle of Purpose Limitation in Data Protection Laws,1
2,Schriften zur rechtswissenschaftlichen Innovationsforschung,2
3,Maximilian von Grafenstein,2
5,The Principle of Purpose Limitation in Data Protection Laws,3
1,Article 7 ECFR 120 (3) German Basic Rights 125,4
2,oo,4
3,Content Overview,7
4,storage’ vs. ‘passer-by situations’ 184,15
5,purpose,17
1,Challenges of bridging risks to rights,20
2,In the public sector: Criteria for intensity of infringement,22
3,In the private sector: ‘Tool of opacity’ vs. private autonomy?,22
5,Empirical approach in order to assist answering open legal questions,29
1,I. Problem: Conflict between innovation and risk protection,32
2,Innovation as an economic driver for public welfare,32
1,Conflict between innovation and risk protection,33
3,Protection against the risks of innovation,33
2,Uncertainty about the meaning and extent of the principle of purpose limitation,34
1,Practical examples referring to two typical scenarios,35
2,Coming from a practical observation: Startups and non-linear innovation processes,36
3,The unpredictable outcome of entrepreneurial processes,37
4,Excursus: In which circumstances do data controllers actually need “old” data?,39
5,Second scenario: The limitation of the later use of data collected by third parties,40
1,No foreseeable negative impact on individuals,40
2,Negative impact foreseeable on the individuals,42
3,Interim conclusion: Uncertainty about the concept of protection and its legal effects,45
4,Research questions and approach,48
5,'search approach regarding innovation developed by the Center of Law and'',48
1,Legal research about innovation,48
2,The regulator’s perspective,49
3,theory,52
4,Possible pitfalls taking the effects of regulation instruments into account,54
5,Ill. Course of examination,55
1,B. Conceptual definitions as a link for regulation,61
2,I. Innovation and entrepreneurship,61
3,Process of innovative entrepreneurship,63
4,1. Process of innovative entrepreneurship,63
5,a) Key Elements for the entrepreneurial process,63
1,Environment,65
2,Regulation of innovative entrepreneurship,71
3,Do laws simply shift societal costs either protecting against or being open to innovation?,72
4,Principles between openness toward innovation and legal uncertainty,73
5,Legal (un)certainty as a factor that mediates the regulatory burden,74
1,Data protection as a risk regulation,76
2,Conditioning further legal certainty as a promoting factor for entrepreneurial activity,76
3,Interim conclusion with respect to the principle of purpose limitation,77
4,Risk terminology oscillating between “prevention” and “precaution”,79
1,Sociological approaches defining “dangers” and “risks”,82
2,German legal perspectives: Different protection instruments for different types of threat,84
3,Protection pursuant to the degree of probability,85
4,Protection pursuant to the available knowledge in linear-causal and non-linear environments,87
5,Interim conclusion: Fundamental rights determining the appropriateness of protection,88
1,Il. Theories about the value of privacy and data protection,91
2,The individual’s autonomy and the private/public dichotomy,91
3,Criticism: From factual to conceptual changes,94
4,Nissenbaum’s framework of “contextual integrity”,96
1,I. Constitutional framework,109
1,Interplay and effects of fundamental rights regimes,110
2,Clarifying the relationship between “context” and “‘purpose”,99
3,Values as a normative scale in order to determine the “contexts” and “purposes”,105
1,The effects of fundamental rights on the private sector,113
3,(1) European Convention on Human Rights,115
4,(a) Positive obligations with respect to Article 8 ECHR,116
5,Right to respect for private life under Article 8 ECHR,117
1,European Charter of Fundamental Rights,118
2,Market freedoms and fundamental rights,118
3,German Basic Rights,125
4,Protection function of the right to informational self-determination,126
5,Priority of contractual agreements and the imbalance of powers,129
1,Balancing the colliding constitutional positions,130
2,(1) The 3-Step-Test: Assessing the defensive and protection function,133
3,Balance between defensive and protection function,132
6,Is the action proportionate with respect to the colliding funda- mental rights?,135
1,even if it is the classic role of civil law to solve conflicting interests,135
2,(2) A first review: decomposing the object and concept of protection,136
3,(a) Which instruments actually protect which object of protection?,136
4,(c) ... individuality?,138
5,(d) ... solidarity?,139
1,2. The object and concept of protection of the German right to informational self-determination,140
2,Equal or equivalent level of protection compared to state data processing?,141
3,Interim conclusion: Interdisciplinary research on the precise object and concept of protection,142
2,Genesis and interplay with co-related basic rights,145
1,Autonomous substantial guarantee,148
2,Right to control disclosure and usage of personal data as protection instrument?,152
3,Infringement by ‘insight into personality’ and ‘particularity of state interest’,158
4,which justifies the protection of the basic right to informational self-determination”,160
5,Purpose specification as the essential link for legal evaluation,164
1,macy of application’ of European fundamental rights did not become rele- vant,167
2,bb) In the private sector: The contract as an essential link for legal evaluation,171
3,f) Interim conclusion: Conceptual link between ‘privacy’ and ‘data processing”,172
2,3. Different approach of Article 7 and 8 ECFR with respect to Article 8 ECHR,174
2,a) Genesis and interplay of both rights,175
1,aa) Substantial guarantee of “private life”: Trust in confidentiality and unbiased behavior,178
2,Particular reference to the individual’s “reasonable expectations”,184
3,Public situations: ‘Systematic or permanent storage’ vs. ‘passer-by situations’,184
4,‘Unexpected use’ pursuant to the purpose perceptible by the individual concerned,188
5,Consent: Are individuals given a choice to avoid the processing altogether?,192
1,Conclusion: Assessment of ‘reasonable expectations’ on a case-by-case basis ,194
2,Differences between private life and data protection under Articles 7 and 8 ECFR,198
2,Protection against first publication and profiles based on public data,198
3,Reference to further fundamental rights under Article 7 and/or 8 ECFR,205
1,Which right is used to discuss other fundamental rights?,206
2,The answer depends on the type of threat posed,207
3,Protection in (semi)-public spheres irrespective of ‘reasonable expectations’?,211
4,Going beyond the requirement of consent provided for under Article 8 ECHR,214
1,Interim conclusion: Article 8 ECFR as a regulation instrument?,217
1,Location of protection instruments under Article 8 ECFR,217
2,Protection going beyond Article 8 ECHR,218
2,Remaining uncertainty about the interplay between Article 7 and 8 ECFR,220
3,The reason for why the scope is too vague: Difference between data and information,223
3,The reason for why the scope is too broad: Increasing digitization in society,225
1,Advantages and challenges: ‘Personal data’ as legal link for a subjective right,226
2,The requirement of purpose specification and its legal scale,231
3,Main problem: Precision of purpose specification,231
4,ECtHR and ECJ: Almost no criteria,232
5,Requirements provided for by European secondary law,234
1,Central role of purpose specification within the legal system,235
2,Scope of protection: ‘Personal data’,236
3,All the means reasonably likely to be used,236
4,Example: IP addresses as ‘personal data’?,236
5,The case of “Breyer vs. Germany”,238
1,Liability for ‘data processing’: ‘Controller’ and ‘processor’,240
2,Further legal provisions referring to the purpose,241
3,Preliminary note: Clarifying conceptual (mis)understandings,245
2,Criteria discussed for purpose specification,244
1,Legal opinion on the function of ‘making a specified purpose explicit”,249
2,Legal opinion on the reconstruction of a purpose and its legitimacy,250
3,Purposes of processing specified when consent is given,251
4,Purposes of data processing authorized by legal provisions,252
5,ePrivacy Directive,252
1,Processing of personal data is justified,254
2,Data Protection regulation corresponds to these provisions,254
3,General Data Protection Regulation,254
4,Performance of a contract (lit. b),254
5,Compliance of a legal obligation of the data,254
1,for fundamental rights and freedoms which require protection under,255
2,(a) Preliminary note: Clarifying conceptual (mis)understandings,255
3,(b) Legal opinion on ‘performance of a contract’,257
5,(d) Legal opinion on ‘legitimate interests’,259
1,c) Transposition of the requirement of purpose specification into German law,262
2,aa) Purposes of processing authorized by the Telecommunication Law,264
3,For the purpose of transferring the telecommunication signals and for billing purposes;7!3,265
5,bb) Purposes of processing authorized by the Telemedia Law,266
1,Article 15 sect. 1 of the Telemedia Law only allows the processing of,267
2,cc) Purposes of processing authorized by the Federal Data Protection Law,269
3,(1) Three basic legitimate grounds,269
4,three different legitimate grounds for the processing of personal data as:,269
1,Justified interests of the controller,271
2,Art. 28 sect. 1 sent. 1 no. 2 BDSG,271
2,Generally accessible data,272
2,Article 10,272
3,Privileges and restrictions pursuant to the purpose,273
4,Purposes of processing specified when consent is given,275
1,Public sector: Purpose specification as a result of the principle of clarity of law ,281
2,Comparison with principles developed by the German Constitutional Court ,281
2,Requirements for consent and consequences of its failure ,277
3,Discussion on the degree of precision of a specified purpose ,278
1,Examples for specific purposes: Certain areas of life or explicitly listed crimes,284
2,that the surveillance was only used for the investigation of explicitly listed crimes,286
1,Examples for unspecific purposes: Abstract dangers or unknown purposes,286
2,The transfer of the data serves the purpose of,286
1,Liberalization of the strict requirement by referring to the object of protection,290
2,refer to the object of protection that is protected by these criminal provisions,291
1,Private sector: ‘Self-control of legitimacy’,293
2,Criticism: Stricter effects on the private than the public sector,295
2,Difference in precision of purposes specified by legislator and data controllers,296
3,Data processing for undisputed ‘marketing purposes’ authorized by law,297
1,Disputed ‘marketing purposes’ specified by data controllers,298
2,to cover different risks of the data processing for the individual concerned,299
2,Further examples for different scales applied in order to specify the purpose,299
3,Can the context help interpret a specified purpose?,300
2,A different scale for ‘purpose specification’ pursuant to the German concept of protection,301
1,Interim conclusion: Do regulation instruments dictate the scale for “purpose specification’?,303
2,Do regulation instruments dictate the scale for “purpose specification’?,303
3,Further ambiguities and possible reasons behind the same,304
4,Common understanding about the function of “purpose specification’,305
5,Ambiguous understanding regarding the functions of ‘making specified purpose explicit’,306
6,Arguable focus on data collection for legal evaluation in the private sector,307
1,Arguable legal consequences surrounding the validity of the consent,310
2,The lack of a legal scale for ‘purpose specification’ in the private sector,312
3,No legal system providing for ‘objectives’ of data processing in the private sector,313
5,‘Interests’ protected by the controller’s fundamental rights,316
1,Is the ‘purpose’ determined by the individual’s fundamental rights?,318
2,Present interests vs. future interests,321
2,Purpose specification pursuant to the type of threat?,323
3,Inclusion or exclusion of future ‘purposes’ and ‘interests',320
3,Summary of conceptual ambiguities,324
1,3. Solution approach: Purpose specification as a risk-discovery process,325
2,Regulative aim: Data protection for the individual’s autonomy,327
3,Intermediate function of data protection,328
4,Different functions of rights (opacity and transparency),329
5,Disconnecting the exclusive link between data protection to privacy,331
2,Purpose specification as a risk regulation instrument,336
2,‘Arisk to a right’: Quantitative vs. qualitative evaluation?,337
3,Challenges of bridging risks to rights,338
3,Example: German White Paper on DPIA,339
1,Integrity Non-combinability,340
2,Accessibility Confidentiality,340
3,Transparency Possibilities to intervene,340
4,Criticism: Incoherence of current risk criteria,341
5,Purpose specification discovering risks posed to all fundamental rights,343
1,Pooling different actions together in order to create meaning,343
2,Separating unspecific from specific risks (first reason why data protection is indispensable),345
3,Function of making specified purposes explicit,350
2,Interim conclusion: Refining the concept of protection,353
3,Tying into the Courts’ decisions and European legislation,353
1,Advantages compared to existing (unclear) concepts of protection,356
2,Effectiveness and efficiency of protection instruments,356
2,Appropriate concept for innovation processes,357
3,Excursus: Objective vs. subjective risks,359
2,Fundamental rights which determine purpose requirements,361
1,aa) Right to privacy (aka ‘being left alone’),361
2,(1) Unfolding specific guarantees of privacy,362
3,(a) At home: Protection of ‘haven of retreat’,363
4,(b) Using communications: Protection against ‘filtering opinions’,365
5,“Privacy in (semi)-public spheres”: Protection against the risks of later usage of data,366
2,‘Framing’ privacy expectations,371
3,'Research on the individual’s decision making process (consent)',372
5,Or should the possibility to consent to an intrusion be forbidden over- all?; and,373
1,(b) First example: The legislature’s considerations on the use of ‘cookies’,374
2,Article 13 of the ePrivacy Directive provides another illustrative example for the interplay between legal elaboration on a substantial guarantee and empirical research on how these guarantee should be met in practice. Sec-,375
1,(c) Second example: Considerations surrounding “unsolicited communications’,375
3,bb) Right to self-determination in public,377
1,(1) Clarification of substantial guarantees,377
2,First publication: Strict requirements,378
2,(a) Necessity of publication,379
3,Strict requirements for consent,380
2,(3) Re-publication: Weighing ‘interests’ against ‘old and new purposes',382
1,Misconceptions in the decision of “Mr. Gonzalez vs. Google Spain”,383
2,Excursus: Case law provided for by the German Constitutional Court,385
3,Conclusion in regards to the decision of “Mr. Gonzalez vs. Google Spain”,387
4,Internal freedom of development,389
5,Does the German right to informational self-determination provide for such a guarantee?,389
