1,AUSTRALIAN CLINICAL LEGAL EDUCATION,1
2,DESIGNING AND OPERATING A BEST PRACTICE CLINICAL PROGRAM IN AN AUSTRALIAN LAW SCHOOL,3
1,The reason for this book,13
2,Why address Australian clinical legal education now?,13
3,List of authors,7
4,Acknowledgements,11
1,Clinics and Australian law schools approaching 2020,23
2,Introduction,23
3,The contributions of clinical legal education,24
2,Conclusion,21
1,Coverage of chapters,17
1,Dramatic growth in the number of law schools,26
2,Regulation of law schools,28
3,Developing understandings and abilities related to ethics and professional responsibility,30
4,Being able to communicate and collaborate,30
5,Being able to self-manage,30
1,Playing ‘pass the parcel’: Confusion in Australia’s legal education framework,32
2,Practical legal training and preparation for reflective practice?,31
3,Broader university agendas,36
4,Work-integrated learning (WIL),37
5,Capstone experiences,38
1,Learning and service,39
2,Service learning,39
3,Pro bono,40
4,Wellness and depression in legal education and legal practice,41
1,Australian clinical legal education: Models and definitions,51
2,Ethical infrastructure,44
3,Identifying and strengthening personal values among clinicians and students,46
4,Clinical scholarship,47
5,Conclusion,48
1,Introduction,51
2,What is clinical legal education?,52
3,The role of simulations,56
3,Distinguishing features of clinical legal education in Australia,58
3,Terminology,59
1,Models,60
2,What is ‘clinic’?,59
2,What is a ‘client’?,59
3,* externships (including internships and placements); and,60
4,* the general beneficiaries of law reform or impact litigation.*!,60
1,In-house live client,62
2,clinical components in other courses.,60
3,Analysis,64
4,External live client clinic (agency clinics),66
5,Analysis,66
1,Externships (including internships and placements),68
2,Analysis,69
3,Clinical components in other courses,72
4,Analysis,73
5,Factors in choice of model,74
1,Learning objectives,74
2,Types of legal work; and students’ location and their numbers.,74
3,Extent of control and supervision,74
4,Available resources,75
5,Potential partnerships/placements,75
1,Course design for clinical teaching,79
2,Introduction,79
3,Types of legal work,76
4,Students’ location and numbers,77
5,Conclusion,77
1,Course Aims and Learning Outcomes,80
2,The Fundamental Importance of Course Aims,80
3,Coverage,79
4,Naming a ‘course’,80
5,Distinguishing Learning Outcomes,82
1,Clinical course aims,82
2,Course aims Learning outcomes Clinical method,82
3,Legal doctrine as a course aim?,84
4,Legal theory as a course aim?,84
5,Legal and professional skills as a course aim?,85
1,Social justice as a course aim?,87
2,Public service as a course aim?,88
3,Legal policy and law reform as a course aim?,89
4,Student wellbeing and engagement as a course aim?,89
5,Student aims?,90
1,Clinical learning outcomes,90
2,Terminology for learning outcomes,92
3,In Best Practices we proposed the following possible learning outcomes for clinical legal education:,93
2,Choosing the type of clinic,94
2,Selecting students,96
1,Processes for selection,96
2,Common criteria for selection,97
3,Valid criteria for selection,98
2,Actively promoting the opportunity to enrol,101
3,Teaching in the classroom,102
1,Conduct of the class,103
2,Literature,105
1,Teaching social justice in clinics,109
2,Introduction,109
3,Length and scheduling of a clinical course,106
3,Course credit value,107
3,Conclusion,108
1,The idea of ‘social justice’ in law,110
2,‘Access to justice’,111
3,Clinical legal education and social justice,112
3,Clinical legal education and community legal centres,114
2,Working with other professions,116
1,Multidisciplinary clinics,117
2,Growth in clinical externship courses,119
3,International externships,120
3,The practice of social justice in clinics,120
2,Skills development,121
1,Class content and readings,122
2,Legal ethics,123
3,Ethical discussions in a clinic setting,124
4,Justice issues in individual client clinics,128
5,Justice issues in dispute resolution Clinical courses,129
1,Justice issues in community engagement clinics,130
2,Community legal education,131
3,Community development,132
4,Law reform,133
1,Conclusion,133
1,The importance of effective Supervision,135
2,Introduction,135
3,Supporting and challenging students through supervision,139
3,Supervision in legal workplaces,141
1,Supervision in Clinical Legal Education,144
2,How supervision underpins learning in the clinic,144
3,Supervision arrangements in Australian clinics,146
4,Key issues in clinical supervision,149
5,Supervision ratios,149
6,Containing the service imperative,151
1,Developing Student Autonomy,154
2,Supervision Issues Generated Disagreement in the United States in the,155
3,Particular Supervision Issues Generated by Externships,157
2,How Law Schools Can Promote Effective Supervision,158
3,Particular Issues Generated by Online Supervision,159
1,Principles to inform law school structures in support of clinical supervision,160
2,The Australian Best Practices includes the following principles relating to clinical supervision:*°,160
3,Guidance for supervisors,161
4,Understand the program,161
5,Communicate clearly,161
1,Preparing students to make the most of supervision,162
2,Be sensitive,161
2,Be collaborative,162
2,Be accountable,162
3,Effective law student supervision project,164
1,Reflective practice: The essence of clinical legal education,165
2,Introduction,165
3,What our research discovered about reflection,167
4,What is reflection?,168
5,Conclusion,164
1,Reflection and Legal Education,168
2,Importance of Teaching Reflective Practice,172
3,Main Reasons for Teaching Reflection in Clinical Legal Education,172
4,Role of Reflection in the Educative Process,172
5,Reflection as an Antidote to Technical/Positivist Nature of Legal Education,174
2,Reflection to educate for lifelong learners and resilient practitioners,177
3,Reflection to expose students to law in context,178
2,How should we teach reflective practice?,180
3,Value it,180
1,Explain it,181
2,Concrete Experience Active Reflective Experimentation Observation Abstract Conceptualisation,182
3,Figure 1: Kolb cycle of learning*,182
4,What sense can you make of the situation?,183
1,Conclusion,189
2,Should we assess reflective practice?,186
3,How do we assess reflective practice?,188
3,Support it,185
4,Figure 2: Gibbs’ learning cycle*®,183
1,Clinical assessment of students’ work,191
2,Introduction,191
3,Australian clinicians’ views on assessment: The contributions of our survey to best practices,193
4,Approaches to assessment criteria in different types of clinical experience,194
5,Edited responses from all regions,194
1,Preliminary statement,196
2,Literature on assessment purposes and techniques,197
3,establish relationship with students and through this assess against standards of the supervisor,195
4,[observe] the way students talk to clients [use] reflective journaling [note their] instinctive reaction,195
5,[conduct] grid and case conferences.,195
1,Best practices in United States legal education: Grading beyond pass/fail,198
2,Formative and summative assessment in clinics,204
3,After grading,207
2,Pressure to standardise clinical assessment,207
3,Strengthening formation—recognising metacognition,209
1,Conclusion,210
2,Resourcing live client clinics,213
3,Introduction,213
4,Clinic supervisors,215
5,Clinic program directors,218
1,Clinical leadership and supervision,219
2,What is involved in clinical leadership?,219
3,Clinical supervisors (‘clinicians’),220
5,Rationales behind clinical supervisor—student ratios,224
6,Funding,225
2,Introduction,231
3,Major funding needs,227
4,Why best practices?,233
5,Process,236
1,Australia,237
2,United Kingdom,239
3,United States,240
4,Conclusion,242
1,General scope of best practices: Live client clinics,243
2,United States,244
3,Conclusion,253
4,Growth in Juris Doctor degrees,255
1,Globalisation of legal practice and legal education,257
2,Changes in legal service provision to the disadvantaged,259
3,Impact of funding crisis: Victoria Legal Aid example,260
4,New models: Multidisciplinary clinics,261
