1,Introduction,7
2,Novozymes — a Long and Hard Journey to Patent Validity,7
3,A. The Glucoamylase,7
4,JPO: Paris Convention the Patent Law PRB,11
5,Yi Zhong Zhi Xing Chu Zi: Zui Gao Fa Xing Zai 12,12
1,II. Novozymes — a Long and Hard Journey to Patent Validity,16
2,A. The Glucoamylase,16
3,I. Introduction,13
4,Official Document issued by the State Council,12
5,Zui Gao Fa Xing Zai,12
1,A. The Glucoamylase,17
2,B. The Patent,18
3,C. The Proceedings on Patent Infringement,20
4,D. The Proceedings on Patent Validity,21
1,2. The Courts of First Instance and Second Instance,24
2,3. The Supreme Court,25
1,II. Homology as an Indication of Confidence,31
2,A. Supporting Data for Homology Claims is Not Necessary for the Patent Law,31
3,78 Agreement on Trade-Related Aspects of Intellectual Property Rights (1994) (TRIPS Agreement),32
4,B. Supporting Data for Homology Claims is an Overwhelming Burden,34
1,C. Rethinking the Role of Homology Language,37
2,2. The Technical Meaning of Homology,38
3,D. Species of Origin is Not an Effective Limitation,41
3,E. Concluding Remarks,42
1,IV. Novozymes may Create an Unclaimable Gap,44
2,A. Inventive Step and Support are One-Dimensionally Aligned by Homology,44
3,Inventive Step B (p2) > Claimed Scope A (p1) + Obviousness (p2) (7),45
4,Inventive Step B (p2) > Claimable Scope A (p1) + Obviousness (p2) (8),45
1,Inventive Step B > Claimable Scope A (10),46
2,The Unclaimable Gap May Constitute a Discrimination,50
3,Novozymes Mingles Sufficient Disclosure and Support,56
4,Sufficient Disclosure and Support Have Different “Prior Art”,56
5,Novozymes Tests Support Using the Standard of Sufficient Disclosure,57
1,Biogen insufficiency,57
2,C. An Example Test Given by the EWHC,60
3,D. On Non-Working Variants — How to Avoid a “Negative Gap”?,61
1,VI. Conclusion,64
2,Annex I: Sequences of Cytochrome c from 17 Different Species,67
3,List of Works Cited,69
2,Patents,72
