2,CONTENTS,8
1,CHAPTERS THE ROLE OF RISK MANAGEMENT AND COMPLIANCE IN MICRO-PRUDENTIAL OVERSIGHT,11
2,COMPLIANCE IN MICRO-PRUDENTIAL OVERSIGHT Introductory overview General overview of Pillar II bank supervision,11
2,The role of the GFC in the formulation of macro-prudential,12
1,IN MACRO-PRUDENTIAL REGULATION OF SYSTEMIC RISK,12
1,CHAPTER9 THE ROLE OF RISK MANAGEMENT AND COMPLIANCE IN CONSUMER PROTECTION REGULATION,13
2,Introductory overview 9.2 Overview of compliance risk in financial consumer services 9.2.1 Factors creating unique compliance risks in banking,13
3,Conclusion,14
1,Originate-and-distribute model: MBS securitization Growth in commercial banking assets over time Pyramid of regulatory expectations,16
2,Principal-agent relationship,16
3,LIST OF TABLES,18
4,INTERNATIONAL,26
1,International Convergence of Capital Measurement and Capital Standards (June 2006),26
2,Principles of Corporate Governance (2004),27
3,The Bank of England’s approach to resolution (October 2017),27
4,Bank recovery and resolution - Directive 2014/59/EU (2014),27
5,The Single Rulebook,28
1,UNITED STATES,28
9,NOTE ABOUT THE AUTHOR,34
1,A transformation of governing assumptions,40
2,Introduction,40
3,Themes in bank regulation and banks’ internal governance,41
4,1 Coptation of corporate governance,41
1,Book overview,46
2,Part IT,48
3,Tensions between banks’ business models and regulatory mandates,42
4,Flexibility and broad variety of means in conveying regulatory expectations,43
5,Contribution to the literature and intended readership,45
1,CHAPTER 1,54
2,The banking business model and rise of the financial conglomerate,54
1,FOUNDATIONS,55
3,of banks’ key business strategies on the liability side of their balance sheet is to,58
3,factoring in recoveries. They thus seek to establish a risk return on their capital in,61
1,Table 1.1 Adverse selection and moral hazard risks faced by banks and bank regulators,63
2,Adverse selection,63
3,Measures against adverse selection,63
4,Definition,63
5,Origination parties,69
1,BANK REGULATORY FRAMEWORK AND EXPECTATIONS,78
2,The bank regulatory framework and formation and conveyance of regulatory expectations,76
3,Figure 1.2 Growth in commercial banking assets over time,74
3,Table 2.1 The four supervisory structures of financial regulation: efficiency/effectiveness,82
1,CLARITY IN SUPERVISORS’ OWN REGULATORY OBJECTIVES,86
2,EFFECTIVENESS IN OVERSEEING FINANCIAL CONGLOMERATES,86
3,SUPERVISORY RESOURCES,86
4,INDEPENDENCE AND ACCOUNTABILITY,87
1,ENFORCEMENT POWERS AND THEIR USE,87
2,Parliament adopted the twin-peaks model in the Financial Services Act of,93
3,Macro-prudential,101
1,A CORPORATE GOVERNANCE FRAMEWORK,108
2,Agency Control,111
1,The role of risk management and compliance in micro-prudential capital regulation,150
2,the FRB’s effort to hold business lines accountable for risk management.,121
3,(3) Monitoring and testing compliance by employees with the P&Ps; and,123
4,ensuring directors were not in violation of their fiduciary duties. In In re Caremark,127
1,BANK REGULATION AND INTERNAL GOVERNANCE,151
2,Table 4.1 Regulatory capital ratios of JPMorgan Chase & Co. and Apple Inc.*,152
2,Figure 4.1 Evolution of bank capital ratio in the US,154
2,Table 4.2 RWA sample calculation,160
1,The role of risk management and compliance in micro-prudential oversight,180
2,CRC of sovereign Risk weight (in %),164
3,Banks are required to use the advanced measurement approach’ using the,170
5,67 12 CFR § 217.41(a)(1)-(4). Separate conditions apply to synthetic securitizations. 12 CFR §,166
1,5.2.2 Capital: focus of supervisory review for all banks,181
1,12 U.S. Code § 1831p-1 — Standards for safety and soundness,187
4,precursor,189
2,Table 5.1 PCA levels for all insured depository institutions,196
1,The role of corporate governance in macro-prudential regulation of systemic risk,198
2,in large financial conglomerates in which the principal-agent conflict plays an,207
3,Best-practice risk management area,211
2,ure (ratio %) (ratio %) (ratio %),196
1,The capital solution to systemic risk,232
2,Risk management and compliance implications,232
3,Processes and systems. These facilitate implementing and monitoring compliance with the aforesaid P&Ps.,227
4,Advanced approaches BHCs are required to have a ‘CCyB’ ranging from 0% to 2.5% of RWA above the 8% RWA floor.,233
5,THE CAPITAL SOLUTION TO SYSTEMIC RISK,234
1,The structural solution to systemic risk,250
2,Risk management and compliance implications,250
3,FDIC would wind down any financial institution? whose failure threatens the stability of the financial system. The success of an SPOE-orchestrated wind down depends on a preexisting BHC structure. While the BHC is nearly universal in,252
4,to insure compliance with this section’ .*!,262
5,Table 8.1 Compliance programs for Volcker banking entities,263
1,CONSUMER PROTECTION REGULATION,270
2,Three regulatory approaches in consumer protection law,277
3,Homeowners Protection Act of 1998 (HPA),279
3,UDAAPs risk management and compliance,283
1,The role of risk management and compliance in the payments system,288
2,AML/CFT regulation,288
3,¢ reasonably identify and verify customer identity; and,296
1,THE FUTURE OF BANK REGULATION,304
1,REFERENCES,312
1,INDEX,322
3,CDD (customer due diligence) see AML/ CFT compliance program,325
1,COPPA (Children’s Online Privacy Protection Act),326
2,cooptation of corporation governance,326
3,counterparty credit risk see CCR (counterparty credit risk),326
3,CRM (comprehensive risk measure) see market risk capital rule,327
3,customer identification program (CIP) see AML/CFT compliance program,327
3,Distributed Ledger Technology,328
2,Discount Window: As Part of Safety Net,328
1,VaR (Value-at-Risk): advantages and disadvantages 101; aggregate risk measure 101; defined 100-101; quantifies P&L 101,340
2,Morgan Stanley: converted to BHCs 2008,334
3,SAR (Suspicious Activity Report) see AML/CFT law and regulation,338
4,Vickers ringfencing reform: compliance implications 226—227; rationales 219; structure 226,340
