1,Analogy and Exemplary Reasoning in Legal Discourse,4
2,Table of contents,6
2,1. Imitation and analogy,14
3,3 Exemplarity and virtue,17
3,4 Models of exemplarity,20
4,4.1 Real and fictional exempla,20
4,4.2 Negative and positive exempla,21
4,"4.3 Heroes, saints, sages, and the ordinary exempla",22
4,4.4 Partial and complete exempla,23
4,4-5 Exempla and other normative ideals,24
3,6 The role of exemplary judges in law,28
4,6.1 Education and imitation,28
4,6.2 Theorizing about excellence in adjudication,29
4,6.3 The evolution of legal culture,30
3,7 Conclusions,31
1,Indefeasible analogical argument,34
2,About the author,49
2,Abstract,50
2,"Keywords: balancing, partial reducibility, heuristics, transmission of justification",50
2,About the author,64
2,Abstract,66
2,"Keywords: extensive interpretation, criminal law, vagueness, semantic tolerance",66
2,About the authors,87
2,Abstract,88
2,About the author,100
2,Abstract,102
2,"Keywords: balancing, analogy, partial reducibility",102
2,About the author,108
2,Abstract,110
2,"Keywords: Balancing, analogy, partial reducibility, opposite normative conditions",110
2,About the author,123
1,Martin Golding,124
2,Abstract,124
2,"Keywords: classic conception of analogy, non-deductive logical argument, countervailing circumstances",124
1,"As if (almost) nothing happened, with notes on the meaning of everything",138
2,Abstract,138
2,"Keywords: logical redundancy, heuristics, argument from principle, wrongful harm and damages",138
2,About the author,165
1,Analogy in the strict liability rules in the Dutch Civil Code,166
1,Index,190
