1,Introduction,7
2,I. Introduction,13
2,II. Novozymes — a Long and Hard Journey to Patent Validity,16
3,A. The Glucoamylase,16
3,B. The Patent,18
2,Official Document issued by the State Council,12
1,B. The Patent,19
2,C. The Proceedings on Patent Infringement,20
2,D. The Proceedings on Patent Validity,21
3,2. The Courts of First Instance and Second Instance,24
3,3. The Supreme Court,25
2,"E. Comments — a Good Will, but also a “Chicken Rib”",26
2,II. Homology as an Indication of Confidence,31
3,A. Supporting Data for Homology Claims is Not Necessary for the Patent Law,31
3,B. Supporting Data for Homology Claims is an Overwhelming Burden,34
3,C. Rethinking the Role of Homology Language,37
3,2. The Technical Meaning of Homology,38
3,D. Species of Origin is Not an Effective Limitation,41
3,E. Concluding Remarks,42
2,IV. Novozymes may Create an Unclaimable Gap,44
3,A. Inventive Step and Support are One-Dimensionally Aligned by Homology,44
4,Inventive Step B (p2) > Claimed Scope A (p1) + Obviousness (p2) (7),45
4,Inventive Step B (p2) > Claimable Scope A (p1) + Obviousness (p2) (8),45
4,Inventive Step B > Claimable Scope A (10),46
2,C. The Unclaimable Gap May Constitute a Discrimination,50
2,V. Novozymes Mingles Sufficient Disclosure and Support,56
3,A. Sufficient Disclosure and Support Have Different “Prior Art”,56
3,B. Novozymes Tests Support Using the Standard of Sufficient Disclosure,57
3,C. An Example Test Given by the EWHC,60
3,D. On Non-Working Variants — How to Avoid a “Negative Gap”?,61
1,VI. Conclusion,64
1,Annex I: Sequences of Cytochrome c from 17 Different Species,67
1,List of Works Cited,69
1,Patents,72
2,"Nielsen BR, Nielsen RI and Lehmbeck J, \u2018Thermostable Glucoamylase\u2019 <https://encry pted.google.com/patents/EP1032654B1?cl=nl>",72
2,"Zlotnick GW and others, \u2018Novel Immunogenic Compositions for the Prevention and Treatment of Meningococcal Disease\u2019 <https://www.google.com/patents/EP234330 8B1?cl=en>",72
