1,The Principle of Purpose Limitation in Data Protection Laws,1
2,Content Overview,7
2,I. Problem: Conflict between innovation and risk protection,32
3,1. Innovation as an economic driver for public welfare,32
3,2. Protection against the risks of innovation,33
3,3. Uncertainty about the meaning and extent of the principle of purpose limitation,34
3,4. Practical examples referring to two typical scenarios,35
4,a) Coming from a practical observation: Startups and non-linear innovation processes,36
5,aa) The unpredictable outcome of entrepreneurial processes,37
5,bb) Excursus: In which circumstances do data controllers actually need “old” data?,39
4,c) Second scenario: The limitation of the later use of data collected by third parties,40
5,aa) No foreseeable negative impact on individuals,40
5,bb) Negative impact foreseeable on the individuals,42
3,5. Interim conclusion: Uncertainty about the concept of protection and its legal effects,45
2,II. Research questions and approach,48
3,1. Legal research about innovation,48
3,2. The regulator’s perspective,49
3,3. Possible pitfalls taking the effects of regulation instruments into account,54
2,Ill. Course of examination,55
1,B. Conceptual definitions as a link for regulation,61
2,I. Innovation and entrepreneurship,61
3,1. Process of innovative entrepreneurship,63
4,a) Key Elements for the entrepreneurial process,63
3,2. Regulation of innovative entrepreneurship,71
4,a) Do laws simply shift societal costs either protecting against or being open to innovation?,72
4,b) Principles between openness toward innovation and legal uncertainty,73
5,aa) Legal (un)certainty as a factor that mediates the regulatory burden,74
3,4. Clarifying the relationship between “context” and “purpose”,99
3,5. Values as a normative scale in order to determine the “contexts” and “purposes”,105
2,I. Constitutional framework,109
3,1. Interplay and effects of fundamental rights regimes,110
4,b) The effects of fundamental rights on the private sector,113
5,"aa) Third-party effect, protection and defensive function",114
6,(1) European Convention on Human Rights,115
7,(a) Positive obligations with respect to Article 8 ECHR,116
7,(b) Right to respect for private life under Article 8 ECHR,117
6,(2) European Charter of Fundamental Rights,118
7,(a) Market freedoms and fundamental rights,118
6,(3) German Basic Rights,125
7,(a) Protection function of the right to informational self-determination,126
7,(b) Priority of contractual agreements and the imbalance of powers,129
7,(c) Balancing the colliding constitutional positions,130
5,bb) Balance between defensive and protection function,132
6,(1) The 3-Step-Test: Assessing the defensive and protection function,133
7,"2. Ifso, is the action adequate in order to achieve this aim?",135
7,"4. If so, is the action proportionate with respect to the colliding fundamental rights?",135
6,(2) A first review: decomposing the object and concept of protection,136
7,(a) Which instruments actually protect which object of protection?,136
7,(c) ... individuality?,138
7,(d) ... solidarity?,139
5,cc) Equal or equivalent level of protection compared to state data processing?,141
4,c) Interim conclusion: Interdisciplinary research on the precise object and concept of protection,142
3,2. The object and concept of protection of the German right to informational self-determination,144
4,a) Genesis and interplay with co-related basic rights,145
4,b) Autonomous substantial guarantee,148
4,c) Right to control disclosure and usage of personal data as protection instrument?,152
4,d) Infringement by ‘insight into personality’ and ‘particularity of state interest’,158
4,e) Purpose specification as the essential link for legal evaluation,164
5,bb) In the private sector: The contract as an essential link for legal evaluation,171
4,f) Interim conclusion: Conceptual link between ‘privacy’ and ‘data processing’,172
3,3. Different approach of Article 7 and 8 ECFR with respect to Article 8 ECHR,174
4,a) Genesis and interplay of both rights,175
5,aa) Substantial guarantee of “private life”: Trust in confidentiality and unbiased behavior,178
5,cc) Particular reference to the individual’s “reasonable expectations”,182
6,(2) Public situations: ‘Systematic or permanent storage’ vs. ‘passer-by situations’,184
