1,The Principle of Purpose Limitation in Data Protection Laws,1
2,Maximilian von Grafenstein,1
4,Schriften zur rechtswissenschaftlichen Innovationsforschung,2
1,Content Overview,7
2,A. Introduction,7
3,I. Problem: Conflict between innovation and risk protection,7
4,Article 7 ECFR 120 (3) German Basic Rights 125,13
5,(a) Protection function of the right to informational self-determination 126,13
6,storage’ vs. ‘passer-by situations’ 184,15
7,purpose,17
8,(3) Legal opinion on the function of ‘making a specified purpose explicit’ (4) Legal opinion on the reconstruction of a purpose and its legitimacy,17
1,Challenges of bridging risks to rights,20
2,In the public sector: Criteria for intensity of infringement,22
3,In the private sector: ‘Tool of opacity’ vs. private autonomy?,22
4,Interim conclusion: Additional legitimacy requirement for the data-based decision-making process,22
5,Protection: Different models of purpose limitation and change of purpose a) European models: ‘Reasonable expectations’ and,23
6,Empirical approach in order to assist answering open legal questions,29
1,I. Problem: Conflict between innovation and risk protection,32
2,1. Innovation as an economic driver for public welfare,32
2,2. Protection against the risks of innovation,33
3,3. Uncertainty about the meaning and extent of the principle of purpose limitation,34
1,Practical examples referring to two typical scenarios,35
2,Coming from a practical observation: Startups and non-linear innovation processes,36
3,The unpredictable outcome of entrepreneurial processes,37
3,Excursus: In which circumstances do data controllers actually need 'old' data?,39
2,Second scenario: The limitation of the later use of data collected by third parties,40
1,II. Research questions and approach,48
2,5. Interim conclusion: Uncertainty about the concept of protection and its legal effects,45
3,aa) No foreseeable negative impact on individuals,40
3,bb) Negative impact foreseeable on the individuals,42
1,Legal research about innovation,48
2,The regulator’s perspective,49
3,Possible pitfalls taking the effects of regulation instruments into account,54
2,Course of examination,55
1,B. Conceptual definitions as a link for regulation,61
2,I. Innovation and entrepreneurship,61
3,1. Process of innovative entrepreneurship,63
4,a) Key Elements for the entrepreneurial process,63
1,Environment,65
2,Regulation of innovative entrepreneurship,71
3,Do laws simply shift societal costs either protecting against or being open to innovation?,72
4,Principles between openness toward innovation and legal uncertainty,73
5,Legal (un)certainty as a factor that mediates the regulatory burden,74
1,Data protection as a risk regulation,79
2,Risk terminology oscillating between “prevention” and “precaution”,79
3,I. Data protection as a risk regulation,79
4,II. Data protection as a risk regulation,79
3,bb) Conditioning further legal certainty as a promoting factor for entrepreneurial activity,76
3,c) Interim conclusion with respect to the principle of purpose limitation,77
1,2. Sociological approaches defining “dangers” and “risks”,82
2,3. German legal perspectives: Different protection instruments for different types of threat,84
3,a) Protection pursuant to the degree of probability,85
